id,country,country_id,continent,site_id,site_name,latitude,longitude,rural_urban,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf_pos,pf_pr,method,rdt_type,pcr_type,dhs_id,source_id1,source_id2,source_id3,date,survey_type
1071935,Tanzania,TZA,Africa,1071933,TZ201700000246,-3.68445,33.421114,URBAN,10,2017,10,2017,0.5,3,12,0,0,RDT,Unknown,NA,TZ201700000246,1000095291,5680,NA,2017-10-01,MIS
1071947,Tanzania,TZA,Africa,1071945,TZ201700000248,-3.644642,33.426935,URBAN,10,2017,10,2017,0.5,4,14,0,0,RDT,Unknown,NA,TZ201700000248,1000095291,5680,NA,2017-10-01,MIS
1071737,Tanzania,TZA,Africa,1071735,TZ201700000213,-5.220212,31.736117,RURAL,10,2017,10,2017,0.5,4,34,7,0.205882352941176,RDT,Unknown,NA,TZ201700000213,1000095291,5680,NA,2017-10-01,MIS
1071041,Tanzania,TZA,Africa,1071039,TZ201700000097,-8.612839,38.769938,RURAL,10,2017,10,2017,0.5,4,11,2,0.181818181818182,RDT,Unknown,NA,TZ201700000097,1000095291,5680,NA,2017-10-01,MIS
1072997,Tanzania,TZA,Africa,1072995,TZ201700000423,-6.138235,39.244051,URBAN,10,2017,10,2017,0.5,4,21,0,0,RDT,Unknown,NA,TZ201700000423,1000095291,5680,NA,2017-10-01,MIS
1072811,Tanzania,TZA,Africa,1072809,TZ201700000392,-2.992686,31.932756,URBAN,10,2017,10,2017,0.5,4,18,0,0,RDT,Unknown,NA,TZ201700000392,1000095291,5680,NA,2017-10-01,MIS
1071761,Tanzania,TZA,Africa,1071759,TZ201700000217,-8.732586,31.594202,RURAL,10,2017,10,2017,0.5,4,19,0,0,RDT,Unknown,NA,TZ201700000217,1000095291,5680,NA,2017-10-01,MIS
1072565,Tanzania,TZA,Africa,1072563,TZ201700000351,-6.203073,31.012133,RURAL,10,2017,10,2017,0.5,4,14,4,0.285714285714286,RDT,Unknown,NA,TZ201700000351,1000095291,5680,NA,2017-10-01,MIS
1071305,Tanzania,TZA,Africa,1071303,TZ201700000141,-10.660708,35.239078,RURAL,10,2017,10,2017,0.5,4,14,0,0,RDT,Unknown,NA,TZ201700000141,1000095291,5680,NA,2017-10-01,MIS
1072583,Tanzania,TZA,Africa,1072581,TZ201700000354,-6.498746,30.824463,RURAL,10,2017,10,2017,0.5,4,35,0,0,RDT,Unknown,NA,TZ201700000354,1000095291,5680,NA,2017-10-01,MIS
1072703,Tanzania,TZA,Africa,1072701,TZ201700000374,-2.911576,33.969116,RURAL,10,2017,10,2017,0.5,4,39,0,0,RDT,Unknown,NA,TZ201700000374,1000095291,5680,NA,2017-10-01,MIS
1072265,Tanzania,TZA,Africa,1072263,TZ201700000301,-2.529691,32.958722,URBAN,10,2017,10,2017,0.5,4,16,0,0,RDT,Unknown,NA,TZ201700000301,1000095291,5680,NA,2017-10-01,MIS
1072439,Tanzania,TZA,Africa,1072437,TZ201700000330,-4.069124,35.364781,URBAN,10,2017,10,2017,0.5,4,19,0,0,RDT,Unknown,NA,TZ201700000330,1000095291,5680,NA,2017-10-01,MIS
1072445,Tanzania,TZA,Africa,1072443,TZ201700000331,-4.196218,35.096152,RURAL,10,2017,10,2017,0.5,4,21,0,0,RDT,Unknown,NA,TZ201700000331,1000095291,5680,NA,2017-10-01,MIS
1071359,Tanzania,TZA,Africa,1071357,TZ201700000150,-10.651567,35.685085,URBAN,10,2017,10,2017,0.5,4,5,0,0,RDT,Unknown,NA,TZ201700000150,1000095291,5680,NA,2017-10-01,MIS
1072985,Tanzania,TZA,Africa,1072983,TZ201700000421,-6.134559,39.221234,RURAL,10,2017,10,2017,0.5,4,22,0,0,RDT,Unknown,NA,TZ201700000421,1000095291,5680,NA,2017-10-01,MIS
1072961,Tanzania,TZA,Africa,1072959,TZ201700000417,-6.407256,39.556169,URBAN,10,2017,10,2017,0.5,4,11,0,0,RDT,Unknown,NA,TZ201700000417,1000095291,5680,NA,2017-10-01,MIS
1072817,Tanzania,TZA,Africa,1072815,TZ201700000393,-2.776854,31.923926,RURAL,10,2017,10,2017,0.5,4,25,14,0.56,RDT,Unknown,NA,TZ201700000393,1000095291,5680,NA,2017-10-01,MIS
1072721,Tanzania,TZA,Africa,1072719,TZ201700000377,-3.010919,34.344829,RURAL,10,2017,10,2017,0.5,4,39,0,0,RDT,Unknown,NA,TZ201700000377,1000095291,5680,NA,2017-10-01,MIS
1072709,Tanzania,TZA,Africa,1072707,TZ201700000375,-3.5324430000000002,34.262272,RURAL,10,2017,10,2017,0.5,4,43,0,0,RDT,Unknown,NA,TZ201700000375,1000095291,5680,NA,2017-10-01,MIS
1072433,Tanzania,TZA,Africa,1072431,TZ201700000329,-3.971149,35.356314,RURAL,10,2017,10,2017,0.5,4,28,0,0,RDT,Unknown,NA,TZ201700000329,1000095291,5680,NA,2017-10-01,MIS
1072379,Tanzania,TZA,Africa,1072377,TZ201700000320,-1.149794,34.03557,URBAN,10,2017,10,2017,0.5,4,15,0,0,RDT,Unknown,NA,TZ201700000320,1000095291,5680,NA,2017-10-01,MIS
1071245,Tanzania,TZA,Africa,1071243,TZ201700000131,-10.287794,40.165641,URBAN,10,2017,10,2017,0.5,4,7,0,0,RDT,Unknown,NA,TZ201700000131,1000095291,5680,NA,2017-10-01,MIS
1070597,Tanzania,TZA,Africa,1070595,TZ201700000023,-4.418593,37.963316,RURAL,10,2017,10,2017,0.5,4,15,0,0,RDT,Unknown,NA,TZ201700000023,1000095291,5680,NA,2017-10-01,MIS
1073009,Tanzania,TZA,Africa,1073007,TZ201700000425,-6.177329,39.254454,RURAL,10,2017,10,2017,0.5,4,24,0,0,RDT,Unknown,NA,TZ201700000425,1000095291,5680,NA,2017-10-01,MIS
1073027,Tanzania,TZA,Africa,1073025,TZ201700000428,-6.140947,39.213492,RURAL,10,2017,10,2017,0.5,4,15,0,0,RDT,Unknown,NA,TZ201700000428,1000095291,5680,NA,2017-10-01,MIS
