ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,Year,T_TL,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus,M_TL,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,F_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus
Tanzania,,ARUSHA,TZ02,2020,2190453,319479,300961,278836,261716,212620,178798,152635,126976,102741,75883,53001,40513,29972,21895,15304,9773,9350,1088337,162712,152837,139894,128557,102590,86123,75072,62559,52273,40647,27380,20611,13331,9177,6686,4253,3635,1102116,156767,148124,138942,133159,110030,92675,77563,64417,50468,35236,25621,19902,16641,12718,8618,5520,5715
Tanzania,,COAST,TZ06,2020,1357842,187516,178690,165280,139204,119207,103709,94593,80468,69533,51137,40726,31865,29690,23556,19105,11809,11754,679059,95498,90947,84642,71551,58416,50388,46819,40712,35816,27789,21174,15569,12674,9387,8240,4986,4451,678783,92018,87743,80638,67653,60791,53321,47774,39756,33717,23348,19552,16296,17016,14169,10865,6823,7303
Tanzania,TZ,DAR ES SALAAM,TZ07,2020,7037577,822222,678359,649588,847710,909493,792737,659092,510104,389227,267504,169867,130955,85319,56202,33667,20253,15278,3546655,417429,340037,312333,376811,450752,409395,346268,271536,212926,143447,96125,70562,42823,26920,15344,8551,5396,3490922,404793,338322,337255,470899,458741,383342,312824,238568,176301,124057,73742,60393,42496,29282,18323,11702,9882
Tanzania,TZ,DODOMA,TZ01,2020,2562332,401581,401792,341330,265713,211218,173866,156767,131151,121480,87236,72245,53489,43699,37031,28966,18369,16399,1275499,202884,204475,174199,141052,107304,85479,75702,63224,58197,44492,35627,25202,17909,14377,11872,7353,6151,1286833,198697,197317,167131,124661,103914,88387,81065,67927,63283,42744,36618,28287,25790,22654,17094,11016,10248
Tanzania,TZ,GEITA,TZ25,2020,2228513,424351,359934,312643,255610,196477,149408,121049,106822,87818,67674,46437,30732,24341,18064,13025,7841,6287,1131492,214635,182452,158497,131616,100027,75446,61679,53507,44914,33615,25134,16207,12069,8569,6390,3902,2833,1097021,209716,177482,154146,123994,96450,73962,59370,53315,42904,34059,21303,14525,12272,9495,6635,3939,3454
Tanzania,TZ,IRINGA,TZ11,2020,1075435,143554,145707,149253,124201,98012,83610,70170,60817,49279,38320,30130,24628,18882,15327,10770,7169,5606,529806,72298,73398,75008,66109,50148,41917,34709,29497,22930,18986,13560,10589,6968,5336,3842,2659,1852,545629,71256,72309,74245,58092,47864,41693,35461,31320,26349,19334,16570,14039,11914,9991,6928,4510,3754
Tanzania,TZ,KAGERA,TZ18,2020,3420189,613789,512908,471791,376967,275042,234643,205887,182621,147780,110004,80427,62059,48927,37030,26257,19229,14828,1721530,308718,258966,237820,195625,140561,119729,105225,92690,75090,59338,39932,29175,20368,14688,10264,7779,5562,1698659,305071,253942,233971,181342,134481,114914,100662,89931,72690,50666,40495,32884,28559,22342,15993,11450,9266
Tanzania,TZ,KATAVI,TZ23,2020,776274,149667,121684,103024,85275,68853,56979,46482,37942,29405,20736,16429,12724,10287,7134,4778,2716,2159,394063,75273,61702,51903,42294,34476,28916,24191,20395,15613,11709,8795,6421,4720,3164,2227,1325,939,382211,74394,59982,51121,42981,34377,28063,22291,17547,13792,9027,7634,6303,5567,3970,2551,1391,1220
Tanzania,TZ,KIGOMA,TZ16,2020,2477796,465252,373944,336479,280975,207060,163647,135457,119119,101381,74875,62970,44659,37559,26426,22288,12135,13570,1225750,234870,189567,169428,140689,102512,80343,65351,57863,48600,39043,30860,22034,15201,10611,8605,5051,5122,1252046,230382,184377,167051,140286,104548,83304,70106,61256,52781,35832,32110,22625,22358,15815,13683,7084,8448
Tanzania,TZ,KILIMANJARO,TZ03,2020,1940962,224240,236172,262061,226566,153087,120654,116406,111082,106157,88607,71896,63849,49627,41442,29706,21855,17555,958528,113909,120184,132202,116301,79570,61415,58094,54229,51263,44679,34151,28044,20287,16238,12388,8876,6698,982434,110331,115988,129859,110265,73517,59239,58312,56853,54894,43928,37745,35805,29340,25204,17318,12979,10857
